level_num,pts_to_reach,obstacles,bombs,grey_walkers,white_walkers,red_walkers,allow_grey_power,allow_white_power,allow_purple_power
1,10,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0
3,30,1,0,0,0,0,0,0,0
4,40,1,0,0,0,0,0,0,0
5,50,2,0,0,1,0,0,0,0
6,50,2,0,0,1,0,0,0,0
7,30,3,1,0,1,1,0,0,0
8,40,3,2,1,1,1,0,0,0
9,50,4,3,1,1,1,0,0,0
10,60,4,4,1,1,1,1,0,0
11,40,5,0,1,1,1,1,0,0
12,40,5,0,1,1,1,1,0,0
13,50,5,1,1,1,1,1,0,0
14,50,5,1,2,1,1,1,0,0
15,60,6,2,2,1,1,1,0,0
16,60,6,2,2,1,1,1,0,0
17,70,7,3,3,1,1,1,0,0
18,70,7,3,3,1,1,1,0,0
19,80,8,4,3,1,1,1,0,0
20,80,8,4,4,1,1,1,0,0
